session,camera,tracker,difficulty,bedding,animals,mota,motp,idf1,idp,idr,idtp,idfp,idfn,num_switches,num_fragmentations,precision,recall,num_false_positives,num_misses,num_detections,num_objects,num_predictions,mostly_tracked,partially_tracked,mostly_lost,num_unique_objects,num_frames
10072022121750,midL,bytetrack,1,black,1,0.988032498902064,9.625779317958452e-10,0.5753417092365042,0.5788099338852158,0.5719148001756698,10418.0,7581.0,7798.0,1,79,1.0,0.9880873956960914,0,217,17999,18216,17999,1,0,0,1,18217
10072022121750,top,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18217.0,0.0,0.0,0,0,1.0,1.0,0,0,18217,18217,18217,1,0,0,1,18217
10072022121750,top,luc3d,1,black,1,0.9940165779217216,0.0,0.9969993117687544,1.0,0.9940165779217216,18108.0,0.0,109.0,0,46,1.0,0.9940165779217216,0,109,18108,18217,18108,1,0,0,1,18217
10072022121750,top,bytetrack,1,black,1,0.9895152879178788,4.0145843455792597e-10,0.9947300168308364,1.0,0.9895152879178788,18026.0,0.0,191.0,0,70,1.0,0.9895152879178788,0,191,18026,18217,18026,1,0,0,1,18217
10072022121750,mid,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18215.0,0.0,0.0,0,0,1.0,1.0,0,0,18215,18215,18215,1,0,0,1,18217
10072022121750,mid,luc3d,1,black,1,0.9944002195992314,0.0,0.9971922484034352,1.0,0.9944002195992314,18113.0,0.0,102.0,0,43,1.0,0.9944002195992314,0,102,18113,18215,18113,1,0,0,1,18217
10072022121750,mid,bytetrack,1,black,1,0.992314026900906,3.291023941351855e-12,0.759947095778684,0.762847817668861,0.7570683502607741,13790.0,4287.0,4425.0,2,52,1.0,0.9924238265166072,0,138,18077,18215,18077,1,0,0,1,18217
10072022121750,topL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18217.0,0.0,0.0,0,0,1.0,1.0,0,0,18217,18217,18217,1,0,0,1,18217
10072022121750,topL,luc3d,1,black,1,0.9941812592633256,0.0,0.9970821404976876,1.0,0.9941812592633256,18111.0,0.0,106.0,0,44,1.0,0.9941812592633256,0,106,18111,18217,18111,1,0,0,1,18217
10072022121750,topL,bytetrack,1,black,1,0.9907229510896416,3.977953352110971e-10,0.9953398593685372,1.0,0.9907229510896416,18048.0,0.0,169.0,0,73,1.0,0.9907229510896416,0,169,18048,18217,18048,1,0,0,1,18217
10072022122913,backL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,backL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,backL,bytetrack,1,black,1,0.9948302078053726,4.676804175345211e-10,0.9974084048986228,1.0,0.9948302078053726,19628.0,0.0,102.0,0,28,1.0,0.9948302078053726,0,102,19628,19730,19628,1,0,0,1,19730
10072022122913,midL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,midL,luc3d,1,black,1,0.983274201723264,0.0,0.9915665729619216,1.0,0.983274201723264,19400.0,0.0,330.0,0,53,1.0,0.983274201723264,0,330,19400,19730,19400,1,0,0,1,19730
10072022122913,midL,bytetrack,1,black,1,0.9898124683223516,1.2140094235713748e-10,0.9790127858998524,0.9839750153594102,0.9741003547896604,19219.0,313.0,511.0,3,42,1.0,0.9899645210339584,0,198,19532,19730,19532,1,0,0,1,19730
10072022122913,back,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,back,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,back,bytetrack,1,black,1,0.9934617334009124,6.974122097810264e-11,0.9967201444153466,1.0,0.9934617334009124,19601.0,0.0,129.0,0,29,1.0,0.9934617334009124,0,129,19601,19730,19601,1,0,0,1,19730
10072022122913,mid,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,mid,luc3d,1,black,1,0.9941713127217436,0.0,0.9970771381369932,1.0,0.9941713127217436,19615.0,0.0,115.0,0,54,1.0,0.9941713127217436,0,115,19615,19730,19615,1,0,0,1,19730
10072022122913,mid,bytetrack,1,black,1,0.9939178915357324,0.0,0.9969496695475344,1.0,0.9939178915357324,19610.0,0.0,120.0,0,23,1.0,0.9939178915357324,0,120,19610,19730,19610,1,0,0,1,19730
10072022124146,back,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18084.0,0.0,0.0,0,0,1.0,1.0,0,0,18084,18084,18084,1,0,0,1,18085
10072022124146,back,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18084.0,0.0,0.0,0,0,1.0,1.0,0,0,18084,18084,18084,1,0,0,1,18085
10072022124146,back,bytetrack,1,black,1,0.9967374474673744,2.4019324043053317e-10,0.9983660583234096,1.0,0.9967374474673744,18025.0,0.0,59.0,0,31,1.0,0.9967374474673744,0,59,18025,18084,18025,1,0,0,1,18085
10072022124146,backL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18080.0,0.0,0.0,0,0,1.0,1.0,0,0,18080,18080,18080,1,0,0,1,18085
10072022124146,backL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18080.0,0.0,0.0,0,0,1.0,1.0,0,0,18080,18080,18080,1,0,0,1,18085
10072022124146,backL,bytetrack,1,black,1,0.995575221238938,9.124090330681971e-10,0.9977273987029543,0.9998889012331964,0.995575221238938,18000.0,2.0,80.0,2,39,1.0,0.9956858407079646,0,78,18002,18080,18002,1,0,0,1,18085
10072022124146,mid,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,18084.0,0.0,0.0,0,0,1.0,1.0,0,0,18084,18084,18084,1,0,0,1,18085
10072022124146,mid,luc3d,1,black,1,0.9988940499889404,0.0,0.9994467190439305,1.0,0.9988940499889404,18064.0,0.0,20.0,0,13,1.0,0.9988940499889404,0,20,18064,18084,18064,1,0,0,1,18085
10072022124146,mid,bytetrack,1,black,1,0.9976775049767752,2.9587117787830126e-11,0.9460514296786338,0.9471263093720556,0.94497898694979,17089.0,954.0,995.0,1,27,1.0,0.997732802477328,0,41,18043,18084,18043,1,0,0,1,18085
10072022122913,topL,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,topL,luc3d,1,black,1,0.9940699442473392,0.0,0.9970261545891264,1.0,0.9940699442473392,19613.0,0.0,117.0,0,54,1.0,0.9940699442473392,0,117,19613,19730,19613,1,0,0,1,19730
10072022122913,topL,bytetrack,1,black,1,0.9945261023821592,2.3904843811854223e-10,0.9972555397438504,1.0,0.9945261023821592,19622.0,0.0,108.0,0,28,1.0,0.9945261023821592,0,108,19622,19730,19622,1,0,0,1,19730
10072022122913,top,sleap,1,black,1,1.0,0.0,1.0,1.0,1.0,19730.0,0.0,0.0,0,0,1.0,1.0,0,0,19730,19730,19730,1,0,0,1,19730
10072022122913,top,luc3d,1,black,1,0.9941206284845412,0.0,0.99705164701098,1.0,0.9941206284845412,19614.0,0.0,116.0,0,52,1.0,0.9941206284845412,0,116,19614,19730,19614,1,0,0,1,19730
